Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
16/11/2020, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, TACUAREMBO, TACUAREMBO, 1, 596505, 6490365 
16/11/2020, TACUAREMBO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 19, PAYSANDU, PAYSANDU, 1, 397210, 6424930 
17/11/2020, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, DURAZNO, CARMEN, 1, 592910, 6321955 
17/11/2020, REAL DE AZUA, CAÍDA, LEVE, MARTES, 14, CANELONES, SOLYMAR, 1, 594215, 6146285 
7/10/2020, CALLE 24, CAÍDA, LEVE, MIÉRCOLES, 19, CANELONES, ATLANTIDA, 1, 613475, 6151775 
8/10/2020, MAR DE AJO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 7, CANELONES, SOLYMAR, 1, 594330, 6145315 
8/10/2020, PERU, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 9, MALDONADO, PUNTA NEGRA, 1, 662715, 6137735 
8/10/2020, SILVESTRE GUILLEN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 9, CANELONES, SIN DATOS, 1, 583265, 6154555 
8/10/2020, SIN DATOS, CAÍDA, LEVE, JUEVES, 12, CANELONES, SIN DATOS, 1, 566700, 6160560 
8/10/2020, DEVIZENSSI Y SILVA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 14, MALDONADO, PAN DE AZUCAR, 1, 662180, 6151180 
8/10/2020, RAMBLA LORENZO BATLLE PACHECO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 15, MALDONADO, PUNTA DEL ESTE, 1, 688385, 6129925 
8/10/2020, CONTINUACION SARANDI CASI ELIAS BOUCHACOURT, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 16, RIVERA, RIVERA, 1, 638780, 6579490 
8/10/2020, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 12, SALTO, SALTO, 1, 407995, 6527310 
8/10/2020, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 19, COLONIA, COLONIA DEL SACRAMENTO, 1, 422400, 6185355 
8/10/2020, CALLE 11, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 15, PAYSANDU, CHAPICUY, 1, 415855, 6496660 
9/10/2020, AV. BVAR. ARTIGAS, CAÍDA, GRAVE, VIERNES, 0, DURAZNO, CENTENARIO, 1, 546910, 6367425 
9/10/2020, SIN DATOS, DESPISTE, SIN LESIONADOS, VIERNES, 10, ROCHA, SIN DATOS, 1, 759690, 6163715 
9/10/2020, MANUEL LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, TREINTA Y TRES, TREINTA Y TRES, 1, 743870, 6320505 
