Fecha y hora,Departamento,Localidad,Jurisdiccion ,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
9/4/2018 18:10,SALTO,SALTO,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,19,M,1,,BRASIL ESQ. SANTA ROSA,4.104.358.296,65.269.240.495
10/4/2018 11:55,TACUAREMBO,TACUAREMBO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,59,M,0,CAMION,AGUSTIN TORRES MEDEIROS ESQ. GENERAL LEANDRO GOMEZ (RUTA 26),5.947.059.025,64.886.273.416
11/4/2018 6:34,DURAZNO,N/C,NACIONAL,COLISION ENTRE VEHICULOS,CAMIONETA,CONDUCTOR,44,M,0,CAMION,RUTA 14 KM 230,,
11/4/2018 6:45,FLORIDA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,67,F,0,CAMIONETA,RUTA 5 KM 147,,
11/4/2018 8:00,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,73,M,1,AUTO,AVENIDA GENERAL SAN MARTIN ESQ. ORSINI BERTANI,5.760.756.098,61.454.948.196
14/04/2018 18:29,RIO NEGRO,N/C,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,47,M,0,MAQUINARIA,Camino Los Ranchos ESQ. CERRO 1,37.401.277.002.579,632.776.982.021.541
15/04/2018 04:10,TREINTA Y TRES,TREINTA Y TRES,DEPARTAMENTAL,CAIDA,CAMIONETA,PASAJERO,18,M,1,,MANUEL LAVALLEJA ESQ. P. SALAVERRY,7.427.292.077,6.320.375.602
14/04/2018 21:15,CANELONES,N/C,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,81,F,1,MOTO,DEMOCRACIA ESQ. 19 DE OCTUBRE,59.021.722.004.506,615.138.965.625.725
17/04/2018 17:00,SAN JOSE,CIUDAD DEL PLATA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,84,M,1,AUTO,LANCIA ESQ. RUTA 1 VIEJA,5.536.838.103,61.541.420.974
18/04/2018 14:25,CANELONES,SAN RAMON,NACIONAL,DESPISTE,AUTO,PASAJERO,4,M,0,,RUTA 63 KM 3,,
18/04/2018 14:25,CANELONES,SAN RAMON,NACIONAL,DESPISTE,AUTO,PASAJERO,11,F,0,,RUTA 63 KM 3,,
19/04/2018 00:35,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,61,M,1,AUTO,CAMINO MOLINOS DE RAFFO ESQ. MARIA ORTICOCHEA,5.721.151.955,61.438.900.697
19/04/2018 17:26,MONTEVIDEO,MONTEVIDEO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,36,M,1,CAMION,RUTA DE ACCESO DEBAJO DE PUENTE AV. CARLOS MARIA RAMIREZ,5.692.991.696,6.141.020.539
19/04/2018 19:59,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,22,M,0,AUTO,AVENIDA OCHO DE OCTUBRE ESQ. DOCTOR PEDRO CAPDEHOURAT,5.791.790.974,61.420.735.745
19/04/2018 21:24,MALDONADO,N/C,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,0,AUTO,RUTA 39 Y PUENTE SOBRE ARROYO MALDONADO,68.869.322.448.499,614.562.073.273.752
21/04/2018 17:30,MALDONADO,OCEAN PARK,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,68,M,0,MOTO,RUTA 93 KM 112,,
21/04/2018 22:49,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,23,F,1,MOTO,CAMINO DOMINGO ARENA ESQ. LAS PRIMICIAS,5.781.792.874,6.146.839.997
22/04/2018 15:55,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,78,F,4,MOTO,CAMINO REPETTO ESQ. CAMINO PASO DE LA ESPANOLA,5.789.675.649,6.146.962.909
23/04/2018 07:09,MONTEVIDEO,MONTEVIDEO,NACIONAL,DESPISTE,AUTO,CONDUCTOR,43,M,1,,RUTA 102 KM 41,,
23/04/2018 07:09,MONTEVIDEO,MONTEVIDEO,NACIONAL,DESPISTE,AUTO,PASAJERO,33,M,0,,RUTA 102 KM 41,,
23/04/2018 19:06,CANELONES,N/C,NACIONAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,47,F,0,CAMION,RUTA 80 KM 64,,
24/04/2018 01:15,SALTO,RINCON DE VALENTIN,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,25,M,0,AUTO,RUTA 31 KM 75,,
24/04/2018 05:35,COLONIA,BARKER,DEPARTAMENTAL,DESPISTE,CAMIONETA,PASAJERO,83,M,0,,RAMAL DE RUTA 2 EMPALME RAMAL DE RUTA 54,4.578.062.045,62.086.640.042
24/04/2018 09:25,CANELONES,CIUDAD DE LA COSTA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,CAMION,PASAJERO,57,M,0,AUTO,GASTRONOMICO ESQ. CIUDAD DE LA PAZ,59.724.108.791.759,614.867.821.007.669
26/04/2018 11:33,DURAZNO,DURAZNO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,72,F,1,MOTO,ZORRILLA DE SAN MARTIN ESQ. CUATRO DE OCTUBRE DE 1828,5.440.256.865,63.060.075.654
26/04/2018 00:01,MALDONADO,N/C,NACIONAL,DESPISTE,AUTO,CONDUCTOR,64,M,0,,RUTA 13 KM 185,,
